,# Nodes,# Changes,Time,Iterations
127,460,40,181.50006341934204,8675600
128,480,40,205.2279350757599,9446400
129,500,40,228.34884238243103,10250000
130,520,40,255.02716612815857,11086400
131,540,40,279.38237619400024,11955600
132,560,40,315.74712657928467,12857600
133,580,40,339.3817369937897,13792400
134,600,40,370.25957012176514,14760000
135,620,40,405.131374835968,15760400
136,640,40,444.9168288707733,16793600
137,660,40,479.47403478622437,17859600
138,680,40,521.9974884986877,18958400
139,700,40,566.8224623203278,20090000
140,20,50,1.792933464050293,20400
141,40,50,4.830740213394165,81600
142,60,50,4.827302694320679,183600
143,80,50,6.817190885543823,326400
144,100,50,9.363386392593384,510000
145,120,50,20.32014536857605,734400
146,140,50,15.803554058074951,999600
147,160,50,21.575198650360107,1305600
148,180,50,25.084240198135376,1652400
149,200,50,34.14190411567688,2040000
150,220,50,43.09910559654236,2468400
151,240,50,46.67334485054016,2937600
152,260,50,57.594521045684814,3447600
153,280,50,66.43804359436035,3998400
154,300,50,86.67165994644165,4590000
155,320,50,100.38089609146118,5222400
156,340,50,111.53714561462402,5895600
157,360,50,122.05967736244202,6609600
158,380,50,150.14790630340576,7364400
159,400,50,160.9363350868225,8160000
160,420,50,181.36633801460266,8996400
161,440,50,210.94898414611816,9873600
162,460,50,229.94148349761963,10791600
163,480,50,256.9401500225067,11750400
164,500,50,285.1489751338959,12750000
165,520,50,315.55705404281616,13790400
166,540,50,347.62267780303955,14871600
167,560,50,384.2370512485504,15993600
168,580,50,421.7335503101349,17156400
169,600,50,460.71795082092285,18360000
170,620,50,511.906534910202,19604400
171,640,50,550.5593874454498,20889600
172,660,50,598.1443581581116,22215600
173,680,50,652.0838086605072,23582400
174,700,50,716.2452697753906,24990000
175,20,60,2.228019952774048,24400
176,40,60,3.726553201675415,97600
177,60,60,5.751462459564209,219600
178,80,60,8.25702428817749,390400
179,100,60,10.987815380096436,610000
180,120,60,14.652246475219727,878400
181,140,60,18.84339666366577,1195600
182,160,60,23.94287872314453,1561600
183,180,60,29.9213969707489,1976400
184,200,60,36.87221574783325,2440000
185,220,60,45.68105483055115,2952400
186,240,60,55.338603496551514,3513600
187,260,60,67.36074304580688,4123600
188,280,60,79.92126631736755,4782400
189,300,60,93.9041817188263,5490000
190,320,60,109.83874225616455,6246400
191,340,60,126.82077717781067,7051600
192,360,60,145.94706201553345,7905600
193,380,60,168.10789513587952,8808400
194,400,60,191.43093013763428,9760000
195,420,60,215.84445238113403,10760400
196,440,60,243.8274462223053,11809600
197,460,60,272.3120460510254,12907600
198,480,60,303.9439477920532,14054400
199,500,60,341.1543791294098,15250000
200,520,60,377.59591698646545,16494400
201,540,60,418.1759650707245,17787600
202,560,60,461.1631739139557,19129600
203,580,60,501.1581988334656,20520400
204,600,60,553.1892330646515,21960000
205,620,60,602.7820427417755,23448400
206,640,60,658.5272915363312,24985600
207,660,60,721.4246091842651,26571600
208,680,60,799.577796459198,28206400
209,700,60,838.7387893199921,29890000
210,20,70,2.4824042320251465,28400
211,40,70,4.844915151596069,113600
212,60,70,6.705846786499023,255600
213,80,70,9.63105320930481,454400
214,100,70,12.77190899848938,710000
215,120,70,17.0660080909729,1022400
216,140,70,21.859943866729736,1391600
217,160,70,27.91052770614624,1817600
218,180,70,34.89113807678223,2300400
219,200,70,43.438751459121704,2840000
220,220,70,53.38446092605591,3436400
221,240,70,65.71938157081604,4089600
222,260,70,77.89259910583496,4799600
223,280,70,93.18282771110535,5566400
224,300,70,109.46913027763367,6390000
225,320,70,131.3771367073059,7270400
226,340,70,149.52857947349548,8207600
227,360,70,170.11252689361572,9201600
228,380,70,195.31978249549866,10252400
229,400,70,225.50536394119263,11360000
230,420,70,253.56896996498108,12524400
231,440,70,284.24381971359253,13745600
232,460,70,316.15574407577515,15023600
233,480,70,354.2084491252899,16358400
234,500,70,397.7650547027588,17750000
235,520,70,437.7050006389618,19198400
236,540,70,482.5272886753082,20703600
237,560,70,540.9711298942566,22265600
238,580,70,594.476487159729,23884400
239,600,70,647.2408137321472,25560000
240,620,70,702.4321234226227,27292400
241,640,70,780.0732429027557,29081600
242,660,70,829.662230014801,30927600
243,680,70,911.714658498764,32830400
244,700,70,980.3570775985718,34790000
245,20,80,2.8353471755981445,32400
246,40,80,4.981295824050903,129600
247,60,80,7.657029390335083,291600
248,80,80,10.871907472610474,518400
249,100,80,14.700854301452637,810000
250,120,80,19.320993900299072,1166400
251,140,80,24.998791694641113,1587600
252,160,80,31.71351385116577,2073600
253,180,80,40.0042564868927,2624400
254,200,80,49.432860374450684,3240000
255,220,80,60.600635290145874,3920400
256,240,80,73.75144290924072,4665600
257,260,80,89.07623624801636,5475600
258,280,80,105.81470203399658,6350400
259,300,80,124.07897186279297,7290000
260,320,80,145.77683281898499,8294400
261,340,80,170.97754669189453,9363600
262,360,80,193.3616750240326,10497600
263,380,80,222.26387310028076,11696400
264,400,80,253.41737294197083,12960000
265,420,80,290.1617441177368,14288400
266,440,80,322.9382495880127,15681600
267,460,80,366.6845738887787,17139600
268,480,80,404.69044184684753,18662400
269,500,80,452.5816078186035,20250000
270,520,80,504.29532623291016,21902400
